,Channels Pruned,Attack Success rate,Classification Accuracy
0,1.0,100.0,98.62042088854248
1,2.0,100.0,98.62042088854248
2,3.0,100.0,98.62042088854248
3,4.0,100.0,98.62042088854248
4,5.0,100.0,98.62042088854248
5,6.0,100.0,98.62042088854248
6,7.0,100.0,98.62042088854248
7,8.0,100.0,98.62042088854248
8,9.0,100.0,98.62042088854248
9,10.0,100.0,98.62042088854248
10,11.0,100.0,98.62042088854248
11,12.0,100.0,98.62042088854248
12,13.0,100.0,98.62042088854248
13,14.0,100.0,98.62042088854248
14,15.0,100.0,98.62042088854248
15,16.0,100.0,98.62042088854248
16,17.0,100.0,98.62042088854248
17,18.0,100.0,98.62042088854248
18,19.0,100.0,98.62042088854248
19,20.0,100.0,98.62042088854248
20,21.0,100.0,98.62042088854248
21,22.0,100.0,98.62042088854248
22,23.0,100.0,98.62042088854248
23,24.0,100.0,98.62042088854248
24,25.0,100.0,98.62042088854248
25,26.0,100.0,98.62042088854248
26,27.0,100.0,98.62042088854248
27,28.0,100.0,98.62042088854248
28,29.0,100.0,98.62042088854248
29,30.0,100.0,98.62042088854248
30,31.0,100.0,98.62042088854248
31,32.0,100.0,98.62042088854248
32,33.0,100.0,98.62042088854248
33,34.0,100.0,98.61262665627436
34,35.0,100.0,98.61262665627436
35,36.0,100.0,98.60483242400623
36,37.0,100.0,98.60483242400623
37,38.0,100.0,98.58924395947
38,39.0,100.0,98.55027279812938
39,40.0,100.0,98.53468433359313
40,41.0,100.0,98.52689010132501
41,42.0,100.0,98.269680436477
42,43.0,100.0,97.88776305533905
43,44.0,100.0,97.66173031956352
44,45.0,100.0,95.90023382696803
45,46.0,99.97661730319564,95.5261106780982
46,47.0,99.98441153546376,95.0584567420109
47,48.0,99.98441153546376,92.29150428682775
48,49.0,99.98441153546376,91.8082618862042
49,50.0,99.97661730319564,91.30943102104443
50,51.0,80.6469212782541,89.84411535463757
51,52.0,77.20966484801247,84.54403741231489
52,53.0,36.26656274356976,76.30553390491036
53,54.0,6.96024941543258,54.762275915822286
54,55.0,0.4208885424785659,27.10054559625877
55,56.0,0.0,13.756819953234606
56,57.0,0.0,6.570537802026501
57,58.0,0.0,1.5198752922837102
58,59.0,0.0,0.646921278254092
59,60.0,0.0,0.0779423226812159
